Time,IndexOfDiff,Distance,Width
1112,3.510961919,208,20
965,3.510961919,208,20
759,3.510961919,208,20
666,3.510961919,208,20
619,3.510961919,208,20
911,3.510961919,208,20
671,3.510961919,208,20
530,3.510961919,208,20
1112,3.510961919,250,20
965,3.510961919,250,20
759,3.510961919,250,20
666,3.510961919,250,20
619,3.510961919,250,20
911,3.510961919,250,20
671,3.510961919,250,20
530,3.510961919,250,20
796,3.754887502,250,20
839,3.754887502,250,20
1003,3.754887502,250,20
727,3.754887502,250,20
735,3.754887502,250,20
881,3.754887502,250,20
684,3.754887502,250,20
1112,3.510961919,300,20
965,3.510961919,300,20
759,3.510961919,300,20
666,3.510961919,300,20
619,3.510961919,300,20
911,3.510961919,300,20
671,3.510961919,300,20
530,3.510961919,300,20
796,3.754887502,300,20
839,3.754887502,300,20
1003,3.754887502,300,20
727,3.754887502,300,20
735,3.754887502,300,20
881,3.754887502,300,20
684,3.754887502,300,20
695,4,300,20
1071,4,300,20
802,4,300,20
652,4,300,20
750,4,300,20
723,4,300,20
1475,4,300,20
914,4,300,20
768,4,300,20
1112,3.510961919,300,50
965,3.510961919,300,50
759,3.510961919,300,50
666,3.510961919,300,50
619,3.510961919,300,50
911,3.510961919,300,50
671,3.510961919,300,50
530,3.510961919,300,50
796,3.754887502,300,50
839,3.754887502,300,50
1003,3.754887502,300,50
727,3.754887502,300,50
735,3.754887502,300,50
881,3.754887502,300,50
684,3.754887502,300,50
695,4,300,50
1071,4,300,50
802,4,300,50
652,4,300,50
750,4,300,50
723,4,300,50
1475,4,300,50
914,4,300,50
768,4,300,50
636,2.807354922,300,50
662,2.807354922,300,50
692,2.807354922,300,50
585,2.807354922,300,50
755,2.807354922,300,50
555,2.807354922,300,50
681,2.807354922,300,50
1112,3.510961919,250,50
965,3.510961919,250,50
759,3.510961919,250,50
666,3.510961919,250,50
619,3.510961919,250,50
911,3.510961919,250,50
671,3.510961919,250,50
530,3.510961919,250,50
796,3.754887502,250,50
839,3.754887502,250,50
1003,3.754887502,250,50
727,3.754887502,250,50
735,3.754887502,250,50
881,3.754887502,250,50
684,3.754887502,250,50
640,2.584962501,250,50
559,2.584962501,250,50
561,2.584962501,250,50
541,2.584962501,250,50
589,2.584962501,250,50
651,2.584962501,250,50
534,2.584962501,250,50
695,4,250,50
1071,4,250,50
802,4,250,50
652,4,250,50
750,4,250,50
723,4,250,50
1475,4,250,50
914,4,250,50
768,4,250,50
636,2.807354922,250,50
662,2.807354922,250,50
692,2.807354922,250,50
585,2.807354922,250,50
755,2.807354922,250,50
555,2.807354922,250,50
681,2.807354922,250,50
1112,3.510961919,208,50
965,3.510961919,208,50
759,3.510961919,208,50
666,3.510961919,208,50
619,3.510961919,208,50
911,3.510961919,208,50
671,3.510961919,208,50
530,3.510961919,208,50
561,2.367371066,208,50
458,2.367371066,208,50
460,2.367371066,208,50
450,2.367371066,208,50
497,2.367371066,208,50
451,2.367371066,208,50
466,2.367371066,208,50
796,3.754887502,208,50
839,3.754887502,208,50
1003,3.754887502,208,50
727,3.754887502,208,50
735,3.754887502,208,50
881,3.754887502,208,50
684,3.754887502,208,50
640,2.584962501,208,50
559,2.584962501,208,50
561,2.584962501,208,50
541,2.584962501,208,50
589,2.584962501,208,50
651,2.584962501,208,50
534,2.584962501,208,50
695,4,208,50
1071,4,208,50
802,4,208,50
652,4,208,50
750,4,208,50
723,4,208,50
1475,4,208,50
914,4,208,50
768,4,208,50
636,2.807354922,208,50
662,2.807354922,208,50
692,2.807354922,208,50
585,2.807354922,208,50
755,2.807354922,208,50
555,2.807354922,208,50
681,2.807354922,208,50
1112,3.510961919,208,50
965,3.510961919,208,50
759,3.510961919,208,50
666,3.510961919,208,50
619,3.510961919,208,50
911,3.510961919,208,50
671,3.510961919,208,50
530,3.510961919,208,50
561,2.367371066,208,50
458,2.367371066,208,50
460,2.367371066,208,50
450,2.367371066,208,50
497,2.367371066,208,50
451,2.367371066,208,50
466,2.367371066,208,50
796,3.754887502,208,50
839,3.754887502,208,50
1003,3.754887502,208,50
727,3.754887502,208,50
735,3.754887502,208,50
881,3.754887502,208,50
684,3.754887502,208,50
640,2.584962501,208,50
559,2.584962501,208,50
561,2.584962501,208,50
541,2.584962501,208,50
589,2.584962501,208,50
651,2.584962501,208,50
534,2.584962501,208,50
695,4,208,50
1071,4,208,50
802,4,208,50
652,4,208,50
750,4,208,50
723,4,208,50
1475,4,208,50
914,4,208,50
768,4,208,50
636,2.807354922,208,50
662,2.807354922,208,50
692,2.807354922,208,50
585,2.807354922,208,50
755,2.807354922,208,50
555,2.807354922,208,50
681,2.807354922,208,50
1112,3.510961919,208,50
965,3.510961919,208,50
759,3.510961919,208,50
666,3.510961919,208,50
619,3.510961919,208,50
911,3.510961919,208,50
671,3.510961919,208,50
530,3.510961919,208,50
561,2.367371066,208,50
458,2.367371066,208,50
460,2.367371066,208,50
450,2.367371066,208,50
497,2.367371066,208,50
451,2.367371066,208,50
466,2.367371066,208,50
796,3.754887502,208,50
839,3.754887502,208,50
1003,3.754887502,208,50
727,3.754887502,208,50
735,3.754887502,208,50
881,3.754887502,208,50
684,3.754887502,208,50
640,2.584962501,208,50
559,2.584962501,208,50
561,2.584962501,208,50
541,2.584962501,208,50
589,2.584962501,208,50
651,2.584962501,208,50
534,2.584962501,208,50
695,4,208,50
1071,4,208,50
802,4,208,50
652,4,208,50
750,4,208,50
723,4,208,50
1475,4,208,50
914,4,208,50
768,4,208,50
636,2.807354922,208,50
662,2.807354922,208,50
692,2.807354922,208,50
585,2.807354922,208,50
755,2.807354922,208,50
555,2.807354922,208,50
681,2.807354922,208,50
