Time,IndexOfDiff,Distance,Width
616,3.510961919,208,20
715,3.510961919,208,20
940,3.510961919,208,20
662,3.510961919,208,20
650,3.510961919,208,20
752,3.510961919,208,20
926,3.510961919,208,20
616,3.510961919,250,20
715,3.510961919,250,20
940,3.510961919,250,20
662,3.510961919,250,20
650,3.510961919,250,20
752,3.510961919,250,20
926,3.510961919,250,20
858,3.754887502,250,20
919,3.754887502,250,20
901,3.754887502,250,20
667,3.754887502,250,20
804,3.754887502,250,20
762,3.754887502,250,20
616,3.510961919,300,20
715,3.510961919,300,20
940,3.510961919,300,20
662,3.510961919,300,20
650,3.510961919,300,20
752,3.510961919,300,20
926,3.510961919,300,20
858,3.754887502,300,20
919,3.754887502,300,20
901,3.754887502,300,20
667,3.754887502,300,20
804,3.754887502,300,20
762,3.754887502,300,20
739,4,300,20
1039,4,300,20
1277,4,300,20
1107,4,300,20
1528,4,300,20
978,4,300,20
1193,4,300,20
616,3.510961919,300,50
715,3.510961919,300,50
940,3.510961919,300,50
662,3.510961919,300,50
650,3.510961919,300,50
752,3.510961919,300,50
926,3.510961919,300,50
858,3.754887502,300,50
919,3.754887502,300,50
901,3.754887502,300,50
667,3.754887502,300,50
804,3.754887502,300,50
762,3.754887502,300,50
739,4,300,50
1039,4,300,50
1277,4,300,50
1107,4,300,50
1528,4,300,50
978,4,300,50
1193,4,300,50
667,2.807354922,300,50
518,2.807354922,300,50
763,2.807354922,300,50
699,2.807354922,300,50
579,2.807354922,300,50
967,2.807354922,300,50
651,2.807354922,300,50
616,3.510961919,250,50
715,3.510961919,250,50
940,3.510961919,250,50
662,3.510961919,250,50
650,3.510961919,250,50
752,3.510961919,250,50
926,3.510961919,250,50
858,3.754887502,250,50
919,3.754887502,250,50
901,3.754887502,250,50
667,3.754887502,250,50
804,3.754887502,250,50
762,3.754887502,250,50
546,2.584962501,250,50
651,2.584962501,250,50
598,2.584962501,250,50
703,2.584962501,250,50
506,2.584962501,250,50
735,2.584962501,250,50
660,2.584962501,250,50
739,4,250,50
1039,4,250,50
1277,4,250,50
1107,4,250,50
1528,4,250,50
978,4,250,50
1193,4,250,50
667,2.807354922,250,50
518,2.807354922,250,50
763,2.807354922,250,50
699,2.807354922,250,50
579,2.807354922,250,50
967,2.807354922,250,50
651,2.807354922,250,50
616,3.510961919,208,50
715,3.510961919,208,50
940,3.510961919,208,50
662,3.510961919,208,50
650,3.510961919,208,50
752,3.510961919,208,50
926,3.510961919,208,50
543,2.367371066,208,50
557,2.367371066,208,50
598,2.367371066,208,50
620,2.367371066,208,50
476,2.367371066,208,50
650,2.367371066,208,50
606,2.367371066,208,50
858,3.754887502,208,50
919,3.754887502,208,50
901,3.754887502,208,50
667,3.754887502,208,50
804,3.754887502,208,50
762,3.754887502,208,50
546,2.584962501,208,50
651,2.584962501,208,50
598,2.584962501,208,50
703,2.584962501,208,50
506,2.584962501,208,50
735,2.584962501,208,50
660,2.584962501,208,50
739,4,208,50
1039,4,208,50
1277,4,208,50
1107,4,208,50
1528,4,208,50
978,4,208,50
1193,4,208,50
667,2.807354922,208,50
518,2.807354922,208,50
763,2.807354922,208,50
699,2.807354922,208,50
579,2.807354922,208,50
967,2.807354922,208,50
651,2.807354922,208,50
616,3.510961919,208,50
715,3.510961919,208,50
940,3.510961919,208,50
662,3.510961919,208,50
650,3.510961919,208,50
752,3.510961919,208,50
926,3.510961919,208,50
543,2.367371066,208,50
557,2.367371066,208,50
598,2.367371066,208,50
620,2.367371066,208,50
476,2.367371066,208,50
650,2.367371066,208,50
606,2.367371066,208,50
858,3.754887502,208,50
919,3.754887502,208,50
901,3.754887502,208,50
667,3.754887502,208,50
804,3.754887502,208,50
762,3.754887502,208,50
546,2.584962501,208,50
651,2.584962501,208,50
598,2.584962501,208,50
703,2.584962501,208,50
506,2.584962501,208,50
735,2.584962501,208,50
660,2.584962501,208,50
739,4,208,50
1039,4,208,50
1277,4,208,50
1107,4,208,50
1528,4,208,50
978,4,208,50
1193,4,208,50
667,2.807354922,208,50
518,2.807354922,208,50
763,2.807354922,208,50
699,2.807354922,208,50
579,2.807354922,208,50
967,2.807354922,208,50
651,2.807354922,208,50
616,3.510961919,208,50
715,3.510961919,208,50
940,3.510961919,208,50
662,3.510961919,208,50
650,3.510961919,208,50
752,3.510961919,208,50
926,3.510961919,208,50
543,2.367371066,208,50
557,2.367371066,208,50
598,2.367371066,208,50
620,2.367371066,208,50
476,2.367371066,208,50
650,2.367371066,208,50
606,2.367371066,208,50
858,3.754887502,208,50
919,3.754887502,208,50
901,3.754887502,208,50
667,3.754887502,208,50
804,3.754887502,208,50
762,3.754887502,208,50
546,2.584962501,208,50
651,2.584962501,208,50
598,2.584962501,208,50
703,2.584962501,208,50
506,2.584962501,208,50
735,2.584962501,208,50
660,2.584962501,208,50
739,4,208,50
1039,4,208,50
1277,4,208,50
1107,4,208,50
1528,4,208,50
978,4,208,50
1193,4,208,50
667,2.807354922,208,50
518,2.807354922,208,50
763,2.807354922,208,50
699,2.807354922,208,50
579,2.807354922,208,50
967,2.807354922,208,50
651,2.807354922,208,50
